cin,company_name,status,authorized_capital,paidup_capital,class
U72900TN2020PTC134300,GO 128 CYBER CAFE PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U63999PN2023PTC221064,MAGNIFICO MARKETING AND MEDIA SOLUTIONS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U72200MH2014PTC252874,CAREER POINT ONLINE SERVICES PRIVATE LIMITED,Active,200000.00,100000.00,Private
U72900KA2020PTC142737,COUROUPITA SERVICES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74140DL2014PTC270523,TAXONGO PRIVATE LIMITED,Active,2000000,1650000,Private
U46691GJ2024PTC155167,RS CHEMTECH PRIVATE LIMITED,Active,100000.00,100000.00,Private
U51909TN1998PTC040531,PREMIER ELMECH SYSTEMS PRIVATE LIMITED,Active,20000000.00,10000000.00,Private
U72900GJ2009PTC056192,ACME CAD SERVICES PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U74999DL2020OPC370493,MEDIA REFORMERS (OPC) PRIVATE LIMITED,Active,100000,10000,One Person Company
U63030TN2016PTC110413,YOURHOLYTRIP PRIVATE LIMITED,Active,100000.00,100000.00,Private
U36999DL2005PTC140227,A Y LABELS PRIVATE LIMITED,Active,2000000,1810000,Private
U24232DL2011PTC212736,HARI VARSH BIO SOLUTIONS PRIVATE LIMITED,Strike Off,100000,100000,Private
U72900KA2021OPC155346,SEASEE TECHNOLOGY (OPC) PRIVATE LIMITED,Active,1000000.00,10000.00,One Person Company
U85100TN2021PTC146820,PRAZIS HEALTHCARE PRIVATE LIMITED,Active,100000.00,100000.00,Private
U99999MH1987PTC043269,CIVICON ENGINEERING (BOMBAY) PVT LTD,Strike Off,500000.00,0.00,Private
U74110DL2017PTC318963,SAASCO GLOBAL HOLDINGS PRIVATE LIMITED,Active,100000,100000,Private
U20237DL2025PTC447586,ALIVE AND WELL PRIVATE LIMITED,Active,100000,100000,Private
U85300KA2019NPL129334,BELGAUM ANIMAL WELFARE ASSOCIATION,Active,1500000.00,10000.00,Private
U17111TZ1995PTC006039,L S P M SPINNERS PRIVATE LIMITED,Active,13500000.00,10000000.00,Private
U72900KA2011PTC060869,ENTERPRISE BLUEPRINTS INDIA PRIVATE LIMITED,Active,5000000.00,4750000.00,Private
U18101DL2010PTC200147,RAYAN GARMENTS PRIVATE LIMITED,Strike Off,6000000,5997200,Private
U34300GJ2009PTC055975,A P AUTOLINK PRIVATE LIMITED,Active,100000.00,100000.00,Private
U51909DL2021PTC384807,APPARELS 360 WHOLESALE PRIVATE LIMITED,Strike Off,500000,500000,Private
U99999MH1945PTC004362,EVER-NEW FILMS LIMITED,Dissolved (Liquidated),0.00,0.00,Public
U45400DL2010PTC199012,GENEX BUILDERS PRIVATE LIMITED,Amalgamated,10000000,2600000,Private
U72900MH2002PTC135181,INSTAVAT INFO PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74899DL1994PTC059161,KHOOBSURAT PROPERTY PRIVATE LIMITED,Converted to LLP,700000,700000,Private
U15134PN2021PTC198107,GREENBURG BEVERAGES PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U93000KA2013PTC072696,STAR K LIGHT SERVICES PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U85300KA2020PTC142229,INDI AUDIOLOGY & HEALTHCARE PRIVATE LIMITED,Active,1500000.00,100000.00,Private
U45202PN2002PTC017360,SHASHWAT BUILDERS PRIVATE LIMITED,Active,300000.00,300000.00,Private
U45309PN2020PTC189985,ORIZONTAS PROJECTS PRIVATE LIMITED,Active,100000.00,50000.00,Private
U27100MH1982PTC028581,SILLA ALLOY STEELS PRIVATE LIMITED,Active,100000.00,3000.00,Private
U01118PN2024PTC234538,MAYMAULI FARMER PRODUCER COMPANY LIMITED,Active,1000000.00,109780.00,Private
U51909MH2002PTC138460,PRANATI MARKETING PRIVATE LIMITED,Active,200000.00,100000.00,Private
U74999DL2019OPC358017,FEMCO INTERIOR (OPC) PRIVATE LIMITED,Strike Off,100000,100000,One Person Company
U74999PN2021PTC205789,DIVE MEDIA & ENTERTAINMENT PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U17119GJ1996PTC030847,SHYAM GINNING AND PRESSING PRIVATE LIMITED,Under CIRP,10200000.00,9595000.00,Private
U25202DL1996PLC081036,IMAGINATIVE FLEXIPACKS LIMITED,Active,20000000,11625000,Public
U74999MH2017PTC294878,MULTIVENTURES FACILITIY SOLUTIONS PRIVATE LIMITED,Strike Off,500000.00,100000.00,Private
U70101DL2012PTC240321,PR PLUS INFRA PRIVATE LIMITED,Strike Off,100000,100000,Private
U78100MH2023PTC403238,A-ZONE OVERSEAS ALLIANCE PRIVATE LIMITED,Active,499000.00,100000.00,Private
U74900DL1996PTC079371,FORTUNE POINT PRIVATE LIMITED,Strike Off,100000,0,Private
U29100GJ2016PTC093826,ISUN SOLAR PRIVATE LIMITED,Active,1000000.00,1000000.00,Private
U51909DL2017PTC320430,MULTIBAGGER TRADEX PRIVATE LIMITED,Active,100000,100000,Private
U33120DL1985PTC022514,AHUJA ELECTRONICS AND ENGINEERS PRIVATE LIMITED,Strike Off,1000000,3000,Private
U63012TN2001PTC046511,MOUNT SHIPPING & MARINE COMPANY PRIVATE LIMITED,Strike Off,500000.00,30000.00,Private
U23959MH2024PTC436767,TPG CEMENT INDUSTRIES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74999MH2011PTC214257,PACKCRAFT INDIA PRIVATE LIMITED,Active,15000000.00,14900000.00,Private
U74899DL1982PTC013173,BRIJ INDUSTRIES PRIVATE LIMITED,Strike Off,2500000,100000,Private
U74920DL2004PTC126458,OCEAN SECURITY AND DETECTIVES PRIVATE LIMITED,Strike Off,100000,100000,Private
U85100DL2024NPL433835,NEFEDU FOUNDATION,Active,100000,20000,Private
U29253MH2010PTC208232,SU-TECH ENGINEERS PRIVATE LIMITED,Active,6000000.00,6000000.00,Private
U74999MH2021PTC374006,ANC AGRI NETWORK CONSULTANCY PRIVATE LIMITED,Active,500000.00,20000.00,Private
U65929PN1994PTC082857,GUNKALI INVESTMENT PRIVATE LIMITED,Under process of striking off,100000.00,20.00,Private
U51909DL1983PTC015567,A.PROSPECT SERVICES PRIVATE LIMITED,Strike Off,100000,20,Private
U17111TZ2004PTC011365,NITHYABHARATH TEXTILE PRIVATE LIMITED,Active,36500000.00,15225000.00,Private
U15499KA1996PTC020538,LISTER (INDIA) MARKETING PRIVATE LIMITED (RENEWAL),Strike Off,500000.00,2000.00,Private
U74140GJ2014PTC081018,SANATAN JEWELS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U01100KA2020PTC133729,KURAL BIO FARMER PRODUCER COMPANY LIMITED,Active,1500000.00,672160.00,Private
U32104DL1988PTC033364,ERONICA ELECTRONICS PRIVATE LIMITED,Strike Off,200000,3000,Private
U74999DL2021FTC383086,TEHRAN JONOOB OIL & GAS DEVELOPMENT PRIVATE LIMITED,Active,1000000,100000,Private
U18109DL2022PTC397063,NEHARA FASHIONS PRIVATE LIMITED,Active,100000,100000,Private
U74900DL1993PTC051773,PEOPLE CARGO PRIVATE LIMITED,Strike Off,500000,3000,Private
U15203PN1999PTC013996,KANIFNATH MILK AND MILK PRODUCTS PRIVATE LIMITED,Under process of striking off,1000000.00,2000.00,Private
U36100PN2021PTC205190,NRK FURNITURE INDIA PRIVATE LIMITED,Active,100000.00,100000.00,Private
U64990TZ2024PTC032165,MARAGATHAM CHIT FUNDS PRIVATE LIMITED,Active,1500000.00,1500000.00,Private
U27320TN2022PTC156179,TMK STEEL SUPPLIERS PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U25209DL1995PTC064847,ARISTO POLYMERS PRIVATE LIMITED,Strike Off,500000,6000,Private
U74999PN2017PTC169980,MAHESWARI FOOD INDUSTRIES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74300MH2008PTC181045,AIDEM VENTURES PRIVATE LIMITED,Active,12500000.00,10250000.00,Private
U51909MH2010PTC205672,PRALAV IMPEX PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U72900TN2020PTC139883,INUN SOLUTIONS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74999TN2017PTC118776,ACFIT ACADEMY FOR FITNESS PROFESSIONALS PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U45200MH1988PTC050052,SEAGULL CONSTRUCTIONS NASIK PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U99999MH1948PLC006724,THE RABKAVI RETCAL YARN MERCHANTS SYNDIC ATE LTD.,Dissolved (Liquidated),0.00,0.00,Public
U74999KA2016PTC097238,LEGAL CONCLAVE GLOBAL INDIA PRIVATE LIMITED,Active,1000000.00,900000.00,Private
U51909MH2020PTC349320,SANJIVAN AGRO RETAIL PRIVATE LIMITED,Active,1000000.00,0.00,Private
U74999DL2001PTC113037,CLIMATE CARD RESOURCES PRIVATE LIMITED,Strike Off,100000,100000,Private
U63011DL1998PTC091615,KEWAL RAM INTERNATIONAL PRIVATE LIMITED.,Strike Off,5000000,750300,Private
U70200PN2025PTC240813,PROWAVE CONSULTANTS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U29199DL2006PTC147137,NEW AGE ZIPS PRIVATE LIMITED,Strike Off,100000,100000,Private
U74999TN2020PTC134173,ORANGE MOJO PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U46692TZ2024PTC031193,R D AGRO INDUSTRIES INDIA PRIVATE LIMITED,Active,10000000.00,10000000.00,Private
U37200TN2001PTC047528,CHENNAI ENVIRONMENTAL PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U74999MH2013PTC251062,UNIQUE CARE PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U41000KA2009PTC048950,AQUACLEAR TECHNOLOGIES (INDIA) PRIVATE LIMITED,Strike Off,2500000.00,1790600.00,Private
U15490MH2021PTC357801,DOCTOR YOU TURN INTERNATIONAL PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74999MH2014PTC255189,NUTRION AGRO FOODS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U65910KA1982PTC004785,SHREEKAALI FINANCE PRIVATE LIMITED,Strike Off,500000.00,15000.00,Private
U24290GJ2019PTC106283,NIRKCH LIFESCIENCE PRIVATE LIMITED,Active,100000.00,100000.00,Private
U23200MH2006PTC160828,UNIX GAS COMPANY PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U74900KA2012PTC066205,SPUNNERS MEDIA PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U74999TN2021PTC142193,LINKONE GLOBAL ENTERPRISES PRIVATE LIMITED,Active,1000000.00,300000.00,Private
U78100TN2023PTC161488,KKS FACILITY INDIA PRIVATE LIMITED,Active,100000.00,100000.00,Private
U73200MH2024PTC423350,PROLANCE FUTURE PRIVATE LIMITED,Active,499000.00,20000.00,Private
U40300MH2015PTC270594,PV4LIFE ENERGY SERVICES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74900DL2015NPL278131,VIRIDIAN ESPARK VENTURE ACCELERATOR,Active,5000000,1300000,Private
U24304KA2020PTC139065,SUBTLE PHARMACEUTICALS PRIVATE LIMITED,Active,1500000.00,1500000.00,Private
U36102DL2008PTC180183,AARBEES INTERIORS PRIVATE LIMITED,Active,1000000,100000,Private
U74999TN2017PTC115237,TRICHY ERA INSTITUTE PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U65990MH1994PTC082132,KRISHA INCAP SERVICES PRIVATE LIMITED,Active,32000000.00,12000000.00,Private
U46492MH2024PTC426124,BOMBAY GENZ RETAIL PRIVATE LIMITED,Active,100000.00,100000.00,Private
U14200GJ2008PTC055529,RAJESHRI NATURAL RESOURCES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U45309MH2022PTC390648,KANESA INFRASTRUCTURE PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U52603TN2016PTC112988,PJM IMPEX PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U45200DL2007PTC160300,VAISH PROJECTS PRIVATE LIMITED,Amalgamated,800000,762500,Private
U72900KA2020PTC136140,TITI AND MUMU TECHNOLOGIES PRIVATE LIMITED,Active,1000000.00,1000.00,Private
U52609TN2021PTC142694,ICHIBAN RETAIL SERVICES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74900DL2013PTC250909,SUFLAM GLOBAL SERVICES MANAGEMENT PRIVATE LIMITED,Strike Off,100000,100000,Private
U29299PN2006PTC129385,BIOCONZERV ENGINEERING PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74900PN2015PTC154333,ELAN ENTERTAINMENT PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U52609TN2019PTC131046,FUTURETECH DREAM HOMES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U51109MH2009PTC190859,SHRIJI SHARANAM TRADING PRIVATE LIMITED,Active,500000.00,500000.00,Private
U24202GJ2023PTC142947,AHP SOLUTIONS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74300DL2011PTC221411,GOODLUCK NET INDIA PRIVATE LIMITED,Strike Off,500000,100000,Private
U41001PN2024PTC236202,JAY HANUMAN CONSTRUCTION INFRA PRIVATE LIMITED,Active,2500000.00,100000.00,Private
U63000DL2010PTC206232,VIAJE GURU TRAVEL PRIVATE LIMITED,Strike Off,2500000,1008640,Private
U74999KA2016PTC097491,ZAROS COMMUNICATION TECHNOLOGY PRIVATE LIMITED,Active,1000000.00,110000.00,Private
U10734DL2025PTC446563,VANA MADHURYAM ASSOCIATES PRIVATE LIMITED,Active,1000000,100000,Private
U85190GJ2013PTC073507,LIFE RESEARCH CENTRE AND STRATEGIC BUSINESS UNIT PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U72900MH2000PTC129868,ITSHASTRA (INDIA) PRIVATE LIMITED,Active,162500000.00,153650000.00,Private
U62090DL2024PTC437219,MACHFOX TECHNOLOGIES PRIVATE LIMITED,Active,1000000,100000,Private
U01100MH2022PTC380803,SOVITAL CROPSCIENCE PRIVATE LIMITED,Active,500000.00,100000.00,Private
U70109MH2017PTC292983,NANDADEVI INFRA DEVELOPERS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U92490DL2008PTC307850,MAHADEV DEN NETWORK PRIVATE LIMITED,Amalgamated,41400000,22290000,Private
U45201GJ2009PTC058006,SANJEEVANI INFRASTRUCTURE PRIVATE LIMITED,Active,1600000.00,1500000.00,Private
U65999MH2022PLN388247,TEJAS URBAN MULTIPURPOSE NIDHI LIMITED,Active,2000000.00,2000000.00,Public
U45400DL2015PTC285536,MEPCO CONSTRUCTIONS PRIVATE LIMITED,Active,100000,100000,Private
U01100PN2022PTC216320,SINDHUKANYA MAHILA FARMER PRODUCER COMPANY LIMITED,Active,1500000.00,525500.00,Private
U70200DL2015PTC281608,CHINAZ REAL ESTATE PRIVATE LIMITED,Strike Off,100000,100000,Private
U74899DL1987PTC028287,SELECT INVESTMENTS PRIVATE LIMITED,Under Liquidation,100000,200,Private
U74999TN2016PTC111309,SHINRAI IMMIGRATION SERVICES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U72900TN2019PTC131444,TANGATUR DIGITAL COMMUNICATIONS PRIVATE LIMITED,Active,500000.00,100000.00,Private
U17299GJ2016PTC093625,ACCURA SPINTEX PRIVATE LIMITED,Active,72500000.00,70500000.00,Private
U27200MH1974PTC017339,A Z METAL INDUSTRIES PRIVATE LIMITED,Converted to LLP,2500000.00,750000.00,Private
U72502KA2020OPC140714,STUTSO IT SOLUTIONS (OPC) PRIVATE LIMITED,Strike Off,20000.00,5000.00,One Person Company
U45200TN2007PTC065166,SANGUPATHI PROPERTIES PRIVATE LIMITED,Active,1000000.00,1000000.00,Private
U74899DL1995PTC072889,NIHON CHEMICALS PRIVATE LIMITED,Active,11000000,10830300,Private
U74999DL2017PTC319158,K. P. DENTRIX PRIVATE LIMITED,Active,100000,100000,Private
U71100KA2023PTC176366,DYMAC INDIA ENGINEERING PRIVATE LIMITED,Active,5000000.00,500000.00,Private
U74100MH2004PTC144198,MIND-FORCE CONSULTANCY SERVICES PRIVATE LIMITED,Strike Off,500000.00,102000.00,Private
U65910GJ1991PTC015446,AJAR INVESTMENTS PRIVATE LIMITED,Strike Off,20000.00,200.00,Private
U51909KA2017PTC106330,NINEXGEN TECHNOLOGIES PRIVATE LIMITED,Strike Off,10000.00,10000.00,Private
U80904KA2011PTC060435,VIDYARAMBH EDUCATION PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U27109MH2006PTC165859,RADICKS STEELS PRIVATE LIMITED,Strike Off,200000.00,0.00,Private
U45309MH2022PTC380683,INFRALAB BUILDTECH PRIVATE LIMITED,Active,100000.00,100000.00,Private
U92490TN1960PTC004153,TELEFILM OF INDIA PRIVATE LIMITED,Strike Off,450000.00,30000.00,Private
U14200KA2013PTC072457,BHAGYALAKSHMI GRANITE EXPORT INDIA PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U27100MH1984PTC033675,AJANTA RE-ROLLING MILLS PVT LTD,Active,1000000.00,984000.00,Private
U65992KA2012PTC065180,CAPTO CHITS PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U74999MH2016PTC271821,BRAND INCUBATOR PRIVATE LIMITED,Active,5000000.00,5000000.00,Private
U65991TN1995PTC031313,MAHA DEEPAM CHITS PRIVATE LIMITED,Strike Off,100000.00,0.00,Private
U62013PN2024PTC231517,MEPTIX MULTISERVICES PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U74999KA2021PTC143373,CLEANUX SERVICES PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U77100TN2024PTC170277,OMURUGA HIGHLINE ENTERPRISES PRIVATE LIMITED,Active,50000.00,10000.00,Private
U29299MH1984PTC034454,SHIMA TEXT EQUIPMENT PVT LTD,Strike Off,400000.00,2000.00,Private
U72900KA2020PTC133996,PROFIT RISER INFORMATION TECHNOLOGY PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U93000PN2018PTC181061,SUNYASH SOLUTIONS AND MAINTENANCE PRIVATE LIMITED,Active,100000.00,100000.00,Private
U72900GJ2022PTC129312,E-EDIFICATION EDUTECH PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U70102DL2008PTC177672,POOJA ASSOCIATES PRIVATE LIMITED,Converted to LLP,300000,250000,Private
U74999MH2018PTC306150,T.A.V. AGENCIES PRIVATE LIMITED,Active,1000000.00,500000.00,Private
U45400MH2010PTC205254,SHREE SWAMI SAMARTH SHELTERS PRIVATE LIMITED,Converted to LLP,100000.00,100000.00,Private
U72300TN2010PTC077436,DRONA SYSTEMS PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U51311DL1991PTC045450,RAKUL EXPORTS PRIVATE LIMITED,Strike Off,1500000,200000,Private
U24231GJ1996PTC030058,SWATI COLOUR SERVICES PRIVATE LIMITED,Active,1500000.00,100000.00,Private
U51109KA2012PTC064016,MANCHALE APPARELS PRIVATE LIMITED,Active,2500000.00,2000000.00,Private
U52609DL2019PTC351933,GENUINE INNOVATIONS PRIVATE LIMITED,Active,1000000,1000000,Private
U63040DL1983PTC016534,FRIENDS TRAVELS AND TOURS PVT LTD,Strike Off,500000,0,Private
U72900DL2022PTC400330,VVSIN TECH PRIVATE LIMITED,Active,100000,100000,Private
U52609MH2017PTC300896,SAINIQ APPAREL PRIVATE LIMITED,Active,100000.00,100000.00,Private
U65921TZ1994PTC005473,K.R.R. AUTO FINANCE PRIVATE LIMITED,Strike Off,2500000.00,1950000.00,Private
U74140KA2020PTC131788,LAYER2 LIBERTY TECHNOLOGIES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74999PN2010PTC135524,DIPS SECURITY SERVICES PRIVATE LIMITED,Strike Off,200000.00,102000.00,Private
U99999DL1983PTC015021,Y D PURI AND SONS PVT LTD,Strike Off,100000,0,Private
U45400DL2009PTC191309,TASTEXPRESS FOODS PRIVATE LIMITED,Active,1300000,980830,Private
U51909KA2019PTC130317,MASLOW TRADING PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U62099KA2023PTC178750,ANDROMEDIA PRODUCTION PRIVATE LIMITED,Active,1500000.00,100000.00,Private
U65921DL1995PTC074228,NRM LEASING AND HOLDING PRIVATE LIMITED,Strike Off,200000,2000,Private
U14200TN2011PTC083762,GATE GARMENTS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U15500PN2015PTC157632,IBP FOODS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U67110MH2018PTC310342,DIHAANPARMAR FOREX PRIVATE LIMITED,Active,3000000.00,2700000.00,Private
U51497PN1998PTC012757,JALDHARA AGRO PLAST PRIVATE LIMITED,Active,50000000.00,50000000.00,Private
U29309TN2019PTC130944,MADURAI ALAGAR ENTERPRISES PRIVATE LIMITED,Active,12100000.00,12032611.00,Private
U39000PN2023PTC225052,RECVIS VISIONARY PRIVATE LIMITED,Active,100000.00,100000.00,Private
U29197PN2004PTC019590,GLOREAL FILTRATION SYSTEMS PRIVATE LIMITED,Active,5000000.00,3900000.00,Private
U29100TN2018PTC123569,AWESOME MACHINES PRIVATE LIMITED,Active,1000000.00,1000000.00,Private
U74899DL1994PTC060149,AAKARSHAK LAND AND DEVELOPERS PRIVATE LIMITED,Active,200000,100000,Private
U74999PN2018PTC175031,GOWRI POWER TECH PRIVATE LIMITED,Active,100000.00,10000.00,Private
U74300DL2005PTC134745,JCDECAUX ADVERTISING INDIA PRIVATE LIMITED,Active,1063000000,1062023000,Private
U40300TZ2017PTC029202,ELANGO GREEN ENERGY PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U74999MH2009PTC194680,JSB POWER & INFRA PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U45200MH1983PTC029131,NYMPH PROPERTIES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U92199MH2021OPC362465,RAYIRTH PICTURES (OPC) PRIVATE LIMITED,Under process of striking off,100000.00,100000.00,One Person Company
U45202MH2009PTC196062,KINITA REAL ESTATE PRIVATE LIMITED,Active,6750000.00,6160260.00,Private
U45200PN2014PTC150618,ASHOKA LANDMARKS PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U74899DL1983PTC016661,Y P GUPTA AND COMPANY PVT LTD,Strike Off,500000,102800,Private
U55209DL2021PTC377077,AERIAL HOSPITALITY PRIVATE LIMITED,Active,100000,100000,Private
U60300MH1990PTC056847,LIQUIFIED GAS TRANSPORT (BOMBAY) PRIVATE LIMITED,Active,10000000.00,7903200.00,Private
U26941GJ1992PTC018045,KOREA CEMENT PVT LTD,Strike Off,500000.00,0.00,Private
U24109GJ2023PTC139250,RAJGURU FORGE PRIVATE LIMITED,Active,5000000.00,5000000.00,Private
U74999TN2020PTC140307,QUICKIX ADVERTISING PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U29190MH2019PTC334443,PRICE PD PUMPS PRIVATE LIMITED,Active,1000000.00,1000000.00,Private
U65100DL2009PTC195347,EURO ASIA FINCAP PRIVATE LIMITED,Active,20000000,14350000,Private
U45200MH1974PTC017838,OKA CONSTRUCTION PRIVATE LIMITED,Strike Off,50000.00,25000.00,Private
U25200GJ2009PTC056314,ALLWIN ROTO PLAST PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U72900GJ2012PTC070904,QUAD SOFTTECH PRIVATE LIMITED,Strike Off,200000.00,0.00,Private
U45400MH2008PTC178328,SQUARE FEET REALTORS PRIVATE LIMITED,Active,500000.00,104500.00,Private
U72900DL2000PTC103389,WPI TELE-INFO PRIVATE LIMITED.,Strike Off,10000000,1000000,Private
U74999MH2021PTC371607,LEMON SQUEEZEE 2021 PRIVATE LIMITED,Active,500000.00,200000.00,Private
U65993DL2000PLC108496,MANU CONSULTANTS LIMITED,Strike Off,1000000,100000,Public
U74899DL1994PTC057966,MURARI HOLDINGS PRIVATE LIMITED,Strike Off,1000000,19000,Private
U51909DL2007PTC165691,SUMYER IMPEX PRIVATE LIMITED,Strike Off,100000,100000,Private
U62099MH2023PTC399294,DYNAGE TECH PRIVATE LIMITED,Active,1500000.00,300000.00,Private
U22200MH1970PTC014605,SAHYADRI PRINTERS PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U40100TZ2022PTC039337,SARVAJITH ENERGIES AND POWERS PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U70102MH2009PTC196053,SIDDHIVINAYAK INFRASYSTEMS PRIVATE LIMITED,Under Liquidation,100000.00,100000.00,Private
U45400PN2021PTC197883,RAMAVISHWA PROJECTS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U72900KA2022PTC156794,ILANTUS SERVICES PRIVATE LIMITED,Active,100000000.00,97500000.00,Private
U99999MH1996PTC101425,ADI FIN-STOCK PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U65921DL1997PTC088434,MOHIT TRADELINKS PRIVATE LIMITED,Strike Off,200000,110200,Private
U65999TN2022PTC155501,SKM MEENAKSHI CHITS AND FINANCE PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U35106KA2024PTC183947,ZOE PRODUCTS & SERVICES PRIVATE LIMITED,Active,10000.00,10000.00,Private
U23200MH2021PTC368336,UDAYGIRI GREEN FUELS PRIVATE LIMITED,Active,500000.00,100000.00,Private
U14101DL2023PTC423703,DAYANIDHI OVERSEAS PRIVATE LIMITED,Active,100000,100000,Private
U65910DL1992PTC047774,GANGA JALIA FINANCE COMPANY PRIVATE LIMITED,Strike Off,1000000,11000,Private
