cin,company_name,status,authorized_capital,paidup_capital,class
U29100GJ2010PTC059718,KEYA ENGINEERING PRIVATE LIMITED,Strike Off,500000.00,100000.00,Private
U74899DL1995PTC067914,GRAFO TECHNA (INDIA) PRIVATE LIMITED,Active,10000000,10000000,Private
U74120MH2016PTC271929,ACUMEN ENGINEERING SERVICES PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U17290GJ2022PTC136498,ORNEZO CREATIVE FASHION PRIVATE LIMITED,Active,30000000.00,13000000.00,Private
U64200DL2015PTC281272,FAST & FIRST COURIERS PRIVATE LIMITED,Strike Off,100000,100000,Private
U70101MH2007PTC172588,HALBE PROPERTY PRIVATE LIMITED,Active,100000.00,100000.00,Private
U45203DL1987PTC027407,BHOGAL BUILDERS PVT. LTD.,Strike Off,500000,0,Private
U72300DL2008PTC179860,ONLIGHTEN SOLUTIONS PRIVATE LIMITED,Strike Off,100000,100000,Private
U63010MH1995PTC092840,PREMA CARRIERS PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U17221KA2013PTC071214,SYNERGY APPAREL TECHNOLOGY PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U45200GJ2014PTC080631,ROOFLIGHT BUILDCON PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U20210GJ1998PTC034594,AMUL BOARDS PRIVATE LIMITED,Active,12500000.00,11610000.00,Private
U63999MH2024PTC419258,TECHZUMA INNOVATION PRIVATE LIMITED,Active,100000.00,10000.00,Private
U74994MH2019PTC329295,ENGENIUS 3D SOLUTIONS PRIVATE LIMITED,Active,1000000.00,1000000.00,Private
U52609DL2017PTC314246,FLAURA HIGH-TECH APPLIANCES PRIVATE LIMITED,Active,100000,100000,Private
U29292MH1981PTC024928,TRIMURITI CERAMICS PVT LTD,Strike Off,500000.00,500.00,Private
U13203DL2007PTC164505,PKN MOULDERS PRIVATE LIMITED,Active,2500000,1000000,Private
U72200KA2013PTC069030,RAINMELON TECHNOLOGIES PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U72100MH2023PTC409196,VAISHESHIKA TECHNOLOGIES PRIVATE LIMITED,Active,400000.00,50000.00,Private
U74999DL2017PTC312847,EMERGING WORKSPACE SOLUTIONS PRIVATE LIMITED,Strike Off,100000,100000,Private
U74999MH1998PTC117395,INTERNET DETECTIVE AND SECURITY PRIVATE LIMITED,Strike Off,100000.00,0.00,Private
U55100DL1995PTC070574,STENLEY APPARELS PRIVATE LIMITED,Active,6000000,5997020,Private
U51909DL2004PTC131215,SAHA EXIM PRIVATE LIMITED,Active,1000000,200000,Private
U92190DL2014PTC269950,UNMIX2MIX ENTERTAINMENT PRIVATE LIMITED,Strike Off,100000,100000,Private
U26941GJ1984PTC006788,RELIABLE CEMENT CO PVT LTD,Strike Off,500000.00,3000.00,Private
U01631PN2024PTC231879,KISAN SANJIVANI FARMER PRODUCER COMPANY LIMITED,Active,1000000.00,100000.00,Private
U46419MH2023PTC408268,PAAHLEY APPARELS PRIVATE LIMITED,Active,500000.00,100000.00,Private
U99999MH1973PTC016673,VORAS ENGINEERING PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U72900DL2022PTC393196,CRYPTONEO INTERNATIONAL PRIVATE LIMITED,Active,500000,100000,Private
U60200KA1977PTC003140,KOTHARI OVERSEAS PRIVATE LIMITED,Active,7500000.00,7500000.00,Private
U74930DL2011PTC223019,SPIC AND SPAN EQUIPMENTS AND SOLUTIONS PRIVATE LIMITED,Strike Off,100000,100000,Private
U51103KA2015PTC082219,BWB ONLINE PRIVATE LIMITED,Active,100000.00,100000.00,Private
U51909MH2019FTC329844,GENRUI BIOTECH INDIA PRIVATE LIMITED,Active,100000.00,100000.00,Private
U51909MH2020PTC348192,GHRELIN PHARMACEUTICALS PRIVATE LIMITED,Active,500000.00,500000.00,Private
U99999MH1973PTC016799,M M PATEL AND SONS PRIVATE LIMITED,Inactive for e-filing,1500000.00,0.00,Private
U20212KA2007PTC043411,MEGA DOORS & PLY PRIVATE LIMITED,Active,5000000.00,3250000.00,Private
U74999PN2016PTC158618,DNYAN AUTOMATION PRIVATE LIMITED,Active,100000.00,100000.00,Private
U55101KA1995ULT018311,OZAL RESORTS PRIVATE LIMITED,Strike Off,2500000.00,20000.00,Private
U29222PN2014PTC152758,TACO AIR INTERNATIONAL THERMAL SYSTEMS PRIVATE LIMITED,Active,200500000.00,200000000.00,Private
U51909DL2014PTC268678,PRINI CONSTRUCTIONS PRIVATE LIMITED,Strike Off,2000000,100000,Private
U72200KA2015PTC079686,COVIAM TECHNOLOGY AND SERVICES PRIVATE LIMITED,Active,40000000.00,15750000.00,Private
U79120MH2023PTC400601,WANDERIST SOLUTIONS PRIVATE LIMITED,Active,200000.00,100000.00,Private
U82990PN2024PTC234542,ELEVION PARTNERS SOLUTIONS INDIA PRIVATE LIMITED,Active,300000.00,300000.00,Private
U99999MH1947PTC005646,KRISONE INDUSTRIES LIMITED,Dissolved (Liquidated),0.00,0.00,Public
U00893KA1999PTC024849,TRANSPORTATION TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Strike Off,500000.00,2000.00,Private
U52310TZ2010PTC016364,AADHAVAN PHARMACIES PRIVATE LIMITED,Strike Off,600000.00,500000.00,Private
U74910DL2007PTC164264,SUNSHINE OUTSOURCING PRIVATE LIMITED,Strike Off,100000,100000,Private
U93090DL2020PTC364333,WENSCART SERVICES PRIVATE LIMITED,Strike Off,500000,100000,Private
U17200DL2012PLC230238,SHREE PITAMBARA INDIA LIMITED,Strike Off,1000000,505000,Public
U27202DL1987PTC027937,CROWN TUBES PRIVATE LIMITED,Strike Off,2500000,1500000,Private
U90004KA2024PTC190196,KATHASUTRA STORIES PRIVATE LIMITED,Active,1000000.00,10000.00,Private
U80301MH2017NPL289818,IPMS INTEGRATED EDUCATION CENTER,Active,150000.00,150000.00,Private
U29308PN2016PTC166595,READYMIX AGROTECH INDIA PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U24233DL1984PLC019157,ACE LABORATORIES LIMITED,Inactive for e-filing,200000000,300,Public
U73200KA2015OPC079119,WINGSO RESEARCH AND DEVELOPMENT PRIVATE LIMITED (OPC),Active,100000.00,100000.00,One Person Company
U45309TZ2022PTC040283,RAEES INFRA DEVELOPERS & CONSTRUCTION PRIVATE LIMITED,Active,1000000.00,400000.00,Private
U55204MH2016PTC274078,EDEN ROCK PRIVATE LIMITED,Active,1000000.00,1000000.00,Private
U74999MH2022PTC383783,FITCRU HEALTH SERVICES PRIVATE LIMITED,Active,2500000.00,2500000.00,Private
U45400TN2013PTC093661,JEYWIN PROJECTS PRIVATE LIMITED,Active,1000000.00,550000.00,Private
U01409MH2022PTC379498,BHAMRAGAD FARMER PRODUCER COMPANY LIMITED,Active,3500000.00,1520000.00,Private
U26999PN2022PTC210505,TECHROCKSTAR BUILDING SOLUTIONS PRIVATE LIMITED,Active,10000000.00,1000000.00,Private
U74140GJ2014PTC079442,IF DESIGN STUDIO PRIVATE LIMITED,Active,100000.00,100000.00,Private
U43303MH2024PTC425236,NEO COATS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U22200MH1996PTC100513,MASTER OFFSET PRIVATE LIMITED,Active,6000000.00,410100.00,Private
U45309KA2017PTC100428,NIRANTHARA INFRA PRIVATE LIMITED,Active,1000000.00,900000.00,Private
U74999GJ2020PTC118186,MANENTIA ADVISORY PRIVATE LIMITED,Active,1000000.00,106590.00,Private
U63040TN2005PTC055374,S.P.CARGO SERVICES PRIVATE LIMITED,Strike Off,200000.00,200000.00,Private
U52609DL2017PTC322567,PUSHKAR GADGETS RAIN PRIVATE LIMITED,Strike Off,100000,100000,Private
U01100MH2021PTC371139,RAYATMITRA AGRO FARMERS PRODUCER COMPANY LIMITED,Active,1000000.00,10000.00,Private
U81100GJ2024OPC155761,DERESH CONSULTANT SERVICE (OPC) PRIVATE LIMITED,Active,100000.00,100000.00,One Person Company
U72900TN2018PTC121914,TRINI-PI TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Active,10000000.00,835000.00,Private
U67190MH1989PTC054533,WELWORTH VENTURES LIMITED,Strike Off,10000000.00,0.00,Public
U70109DL2006PTC153825,CORPORATE LAND DEVELOPERS PRIVATE LIMITED,Active,100000,100000,Private
U72200KA2012PTC064252,ONEDELTA SYNERGIES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74210TN1977PTC007312,ARUN CONSULTANTS PRIVATE LIMITED,Strike Off,20000.00,2500.00,Private
U15132DL2019PTC347766,ECCO AGRO FOODS & BEVERAGES PRIVATE LIMITED,Strike Off,100000,100000,Private
U72200KA2008PTC047389,ORTUS INFOTECH PRIVATE LIMITED,Strike Off,200000.00,100000.00,Private
U99999MH1996PTC004723,INTERNATIONAL IMPORTS AND EXPORTS LIMITED,Dissolved (Liquidated),0.00,0.00,Public
U70100PN2006PTC021787,MPN SPACES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U45400DL2007PTC171085,O N BUILDERS PRIVATE LIMITED,Amalgamated,1000000,100000,Private
U51900MH1991PTC062315,FERMET IMDEX (INDIA) PRIVATE LIMITED,Converted to LLP,5000000.00,4892700.00,Private
U35990MH2014PTC252102,NEXGEN ELEVATORS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U80903MH1999PTC121198,RIKI INTERNATIONAL PRIVATE LIMITED,Active,10000000.00,614000.00,Private
U29253DL2014PTC263501,ACCUTRONIX INDIA PRIVATE LIMITED,Strike Off,500000,500000,Private
U74300MH1986PTC041744,MULAMUTIL DESIGN CONCEPTS PVT. LTD.,Strike Off,100000.00,0.00,Private
U69200GJ2025PTC161070,LAKSHYANIRMAN ADVISOR SERVICES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U50200TN2011PTC079632,TEAM MOTORS (TRICHY) PRIVATE LIMITED,Strike Off,1000000.00,600000.00,Private
U85191MH2010PTC199794,PRANA WELLNESS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74101PN2024PTC227734,LUXURIATE LINEN PRIVATE LIMITED,Active,100000.00,50000.00,Private
U77309KA2023PTC180177,SWARIDE RENTAL PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U35105MH2024PTC425754,CLEAN MAX SERENGETI PRIVATE LIMITED,Active,3000000.00,2648210.00,Private
U46901TN2024PTC172368,PROFESSIONALLOOP VENTURES IND PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U85500DL2017PTC315175,KJ WISDOM CLASSES PRIVATE LIMITED,Active,1000000,250000,Private
U63040TN2002PTC049139,AL-MABROOK HAJ-UMRAH TOURS & TRAVELS PRI VATE LIMITED,Strike Off,250000.00,100000.00,Private
U15549DL2021PTC389640,SATVLIFE HERBS AND FOODS PRIVATE LIMITED,Active,100000,100000,Private
U72900DL2021PTC389926,MODULATION DIGITAL PRIVATE LIMITED,Active,100000,100000,Private
U88100GJ2023NPL142770,TORCHIT FOUNDATION,Active,0.00,0.00,Private
U24100TN2019PTC129864,SLB ETHANOL PRIVATE LIMITED,Active,520000000.00,462100000.00,Private
U70200DL2015PTC280445,HARDIK BUILDWELL PRIVATE LIMITED,Under process of striking off,100000,100000,Private
U74999DL2017PTC311417,RELIABILITY CENTERED MAINTENANCE PRIVATE LIMITED,Strike Off,500000,500000,Private
U74140MH2008PTC181179,HR DIMENSIONS (INDIA) PRIVATE LIMITED,Active,500000.00,100000.00,Private
U85100PN2014PTC150405,ASHADEEP MEDICARE PRIVATE LIMITED,Strike Off,500000.00,500000.00,Private
U99999MH1985PTC037653,VIMAL GEM PVT LTD,Strike Off,2500000.00,0.00,Private
U51909DL2020PTC362263,STRANGE EXPORTS INDIA PRIVATE LIMITED,Active,100000,100000,Private
U70109DL2021PTC379455,MADHULIKA CASTLE PRIVATE LIMITED,Strike Off,500000,100000,Private
U45500PN2019PTC185259,SSN INFRABUILD PRIVATE LIMITED,Active,100000.00,100000.00,Private
U70100MH2005PTC151102,ARCHANA DEVELOPERS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U92413KA2019PTC125590,CAMPERSTRIBE INDIA PRIVATE LIMITED,Active,100000.00,100000.00,Private
U45201PN2021PTC203785,STEADFAST LANDMARK PRIVATE LIMITED,Active,500000.00,100000.00,Private
U24290PN2022PTC215757,FEYRE PHARMACEUTICAL PRIVATE LIMITED,Active,500000.00,100000.00,Private
U92410DL2022PTC404711,27SPORTS RADAR PRIVATE LIMITED,Active,100000,100000,Private
U93090KA2021PTC146488,PROTECTION MY TIME PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U19204KA2025PTC200667,REABLE BIO FUELS (BHARAT) PRIVATE LIMITED,Active,300000.00,300000.00,Private
U36999MH2009PTC196169,CRYSTALWATER PRODUCTS PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U40300TN2019PTC126833,RAJKOTT WINDFARM PRIVATE LIMITED,Active,1500000.00,1000000.00,Private
U80903TZ2015PTC022056,LEARNINGPAGES ACADEMY PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U45309MH2005PLC156225,MAHINDRA WORLD CITY (MAHARASHTRA) LIMITED,Active,256833500.00,254237000.00,Public
U74900MH2015PTC264208,ONLY MARKETING SOLUTIONS (INDIA) PRIVATE LIMITED,Active,100000.00,100000.00,Private
U74999MH2022PTC382880,TECH ADR IT SOLUTIONS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U55902KA2025PTC198596,EAZY HOSTEL PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U45100MH2006PTC162973,JET TECHNO SERVICES PRIVATE LIMITED,Active,500000.00,100000.00,Private
U24240MH1980PTC023113,GOLAX SOAPS AND CHEMICALS PRIVATE LIMITED,Active,2500000.00,100000.00,Private
U74900KA2015PTC083005,WEALTHSTREAM ADVISORS PRIVATE LIMITED,Active,1000000.00,500000.00,Private
U72900PN2018PTC180475,CERTIFIC TECHNOLOGIES PRIVATE LIMITED,Active,1000000.00,1000000.00,Private
U63090DL2009PTC186385,AVS TOURISM PRIVATE LIMITED,Strike Off,100000,100000,Private
U17299MH2021PTC368202,AMONA APPARELS PRIVATE LIMITED,Active,500000.00,100.00,Private
U72300DL2005PTC138448,YUVA OUTSOURCING SERVICES PRIVATE LIMITED,Active,500000,359000,Private
U74899DL1987PTC029267,SUPER WARES PRIVATE LIMITED,Amalgamated,10000000,4995150,Private
U70102DL2011PTC224812,CERAON VENTURES PRIVATE LIMITED,Strike Off,1700000,1700000,Private
U90009MH2023PTC400432,GUBBARA ENTERTAINMENT PRIVATE LIMITED,Active,100000.00,100000.00,Private
U45500DL2017PTC317206,PARAMITRA SMART INFRA PRIVATE LIMITED,Active,100000,100000,Private
U45403GJ2022PTC131891,PECKSUN RENEWABLES PRIVATE LIMITED,Active,100000.00,100000.00,Private
U70200MH1997PTC112548,DVAARIKA DEVELOPMENT AND LEASING PRIVATE LIMITED,Strike Off,100000.00,100000.00,Private
U33100KA2021PTC144543,ALNES PHARMA INDIA PRIVATE LIMITED,Active,1000000.00,500000.00,Private
U20299GJ1991PTC015158,SUMERCHAND CHAMAN PRAKASH LUMBERS PVT.LTD.,Strike Off,500000.00,20000.00,Private
U40108TN2001PTC047545,RAMASAMY POWER GEN PRIVATE LIMITED,Active,1000000.00,100000.00,Private
U72200KA2006PTC038857,AVIJAR SOFTWARE PRIVATE LIMITED,Strike Off,300000.00,250500.00,Private
U72900KA2021PTC152541,TOWEDE INDIA PRIVATE LIMITED,Active,100000.00,10000.00,Private
U24299MH2021PTC360776,CICIL INDUSTRIES PRIVATE LIMITED,Active,1500000.00,100000.00,Private
U99999GJ1970SGC001818,GUJARAT SHEEP AND WOOL DEVELOPMENT CORPORATION LIMITED,Active,50000000.00,43136000.00,Public
U74999PN2017PTC172262,SHREE VALLABH DIGITAL PRIVATE LIMITED,Active,100000.00,100000.00,Private
U72200TN2008PTC067171,MEDIASOFT INFOTECH PRIVATE LIMITED,Strike Off,200000.00,200000.00,Private
U72900KA2020PTC135071,GRAND SOLORAY HITECH PRIVATE LIMITED,Strike Off,1000000.00,100000.00,Private
U67190TN1995PTC029735,PERFECT FINANCIAL SERVICES PRIVATE LIMITED,Strike Off,100000.00,29900.00,Private
U51909MH1995PTC088295,NILOUFER TRADING PRIVATE LIMITED,Strike Off,500000.00,0.00,Private
U92412MH2007PLC176315,KDJ HOLIDAYSCAPES LIMITED,Amalgamated,50000000.00,47500000.00,Public
U99999MH1985PLC035453,JASUBHAI RICHARD SIMON LIMITED,Strike Off,50000000.00,0.00,Public
U62011GJ2025PTC159640,ORANTS INNOVATIONS PRIVATE LIMITED,Active,100000.00,100000.00,Private
U01122PN2006PTC129378,CASUARINA FARMS & PROPERTIES PRIVATE LIMITED,Converted to LLP,2000000.00,2000000.00,Private
U17000KA1996PTC019688,PATODIA SILCOTEX PRIVATE LIMITED,Strike Off,2500000.00,103000.00,Private
L74899DL1992PLC051462,CSL FINANCE LIMITED,Active,230000000,227826210,Public
U51909MH1997PTC108093,SPAR IMPEX (INDIA) PRIVATE LIMITED,Strike Off,2500000.00,510000.00,Private
U92412MH2014PTC251980,INNOBRAND MEDIA & COMMUNICATION PRIVATE LIMITED,Active,100000.00,100000.00,Private
U33110DL2013PTC256299,R.N. OPTICALS PRIVATE LIMITED,Strike Off,200000,100000,Private
U51109MH1993PTC427277,KARAMVEER IMPEX PVT. LTD.,Active,400000000.00,369305000.00,Private
U70109DL2011PTC217408,H.C. BUILDING & ENGINEERING PRIVATE LIMITED,Active,1000000,1000000,Private
U68100MH2024PTC420486,HOABL VISTA ESTATES PRIVATE LIMITED,Active,200000.00,100000.00,Private
U25190MH1988PTC047948,ANSHA RUBBER PRIVATE LIMITED,Strike Off,400000.00,0.00,Private
